Item,Response,Participant,Group,Dimension
26,3,213,USA,Equality
27,3,214,USA,Proportionality
28,2,215,USA,Loyalty
29,4,216,USA,Authority
30,5,217,USA,Purity
31,5,218,USA,Care
32,1,219,USA,Equality
33,4,220,USA,Proportionality
34,2,221,USA,Loyalty
35,3,222,USA,Authority
36,5,223,USA,Purity
1,5,224,USA,Care
2,1,225,USA,Equality
3,4,226,USA,Proportionality
4,5,227,USA,Loyalty
5,3,228,USA,Authority
6,3,229,USA,Purity
7,5,230,USA,Care
8,1,231,USA,Equality
9,4,232,USA,Proportionality
10,2,233,USA,Loyalty
11,3,234,USA,Authority
12,1,235,USA,Purity
13,5,236,USA,Care
14,4,237,USA,Equality
15,4,238,USA,Proportionality
16,4,239,USA,Loyalty
17,4,240,USA,Authority
18,2,241,USA,Purity
19,5,242,USA,Care
20,3,243,USA,Equality
21,5,244,USA,Proportionality
22,3,245,USA,Loyalty
23,4,246,USA,Authority
24,1,247,USA,Purity
25,5,248,USA,Care
26,4,249,USA,Equality
27,4,250,USA,Proportionality
28,5,251,USA,Loyalty
29,4,252,USA,Authority
30,2,253,USA,Purity
31,5,254,USA,Care
32,3,255,USA,Equality
33,4,256,USA,Proportionality
34,4,257,USA,Loyalty
35,4,258,USA,Authority
36,1,259,USA,Purity
1,4,260,USA,Care
2,1,261,USA,Equality
3,5,262,USA,Proportionality
4,5,263,USA,Loyalty
5,5,264,USA,Authority
6,5,265,USA,Purity
7,4,266,USA,Care
8,1,267,USA,Equality
9,5,268,USA,Proportionality
10,5,269,USA,Loyalty
11,5,270,USA,Authority
12,4,271,USA,Purity
13,3,272,USA,Care
14,1,273,USA,Equality
15,5,274,USA,Proportionality
16,5,275,USA,Loyalty
17,5,276,USA,Authority
18,1,277,USA,Purity
19,3,278,USA,Care
20,1,279,USA,Equality
21,5,280,USA,Proportionality
22,5,281,USA,Loyalty
23,5,282,USA,Authority
24,3,283,USA,Purity
25,4,284,USA,Care
26,4,285,USA,Equality
27,5,286,USA,Proportionality
28,5,287,USA,Loyalty
29,5,288,USA,Authority
30,5,289,USA,Purity
31,4,290,USA,Care
32,1,291,USA,Equality
33,5,292,USA,Proportionality
34,5,293,USA,Loyalty
35,5,294,USA,Authority
36,2,295,USA,Purity
1,5,296,USA,Care
2,1,297,USA,Equality
3,2,298,USA,Proportionality
4,4,299,USA,Loyalty
5,4,300,USA,Authority
6,3,301,USA,Purity
7,5,302,USA,Care
8,1,303,USA,Equality
9,4,304,USA,Proportionality
10,5,305,USA,Loyalty
11,4,306,USA,Authority
12,3,307,USA,Purity
13,4,308,USA,Care
14,1,309,USA,Equality
15,5,310,USA,Proportionality
16,5,311,USA,Loyalty
17,4,312,USA,Authority
18,3,313,USA,Purity
19,4,314,USA,Care
20,1,315,USA,Equality
21,5,316,USA,Proportionality
22,3,317,USA,Loyalty
23,4,318,USA,Authority
24,4,319,USA,Purity
25,4,320,USA,Care
26,5,321,USA,Equality
27,4,322,USA,Proportionality
28,4,323,USA,Loyalty
29,4,324,USA,Authority
30,3,325,USA,Purity
31,5,326,USA,Care
32,1,327,USA,Equality
33,4,328,USA,Proportionality
34,4,329,USA,Loyalty
35,4,330,USA,Authority
36,4,331,USA,Purity
1,1,332,USA,Care
2,5,333,USA,Equality
3,5,334,USA,Proportionality
4,1,335,USA,Loyalty
5,4,336,USA,Authority
6,5,337,USA,Purity
7,5,338,USA,Care
8,4,339,USA,Equality
9,5,340,USA,Proportionality
10,1,341,USA,Loyalty
11,1,342,USA,Authority
12,5,343,USA,Purity
13,5,344,USA,Care
14,5,345,USA,Equality
15,5,346,USA,Proportionality
16,3,347,USA,Loyalty
17,5,348,USA,Authority
18,5,349,USA,Purity
19,1,350,USA,Care
20,4,351,USA,Equality
21,5,352,USA,Proportionality
22,5,353,USA,Loyalty
23,1,354,USA,Authority
24,1,355,USA,Purity
25,5,356,USA,Care
26,5,357,USA,Equality
27,4,358,USA,Proportionality
28,4,359,USA,Loyalty
29,5,360,USA,Authority
30,1,361,USA,Purity
31,4,362,USA,Care
32,4,363,USA,Equality
33,4,364,USA,Proportionality
34,5,365,USA,Loyalty
35,5,366,USA,Authority
36,5,367,USA,Purity
1,5,368,USA,Care
2,5,369,USA,Equality
3,5,370,USA,Proportionality
4,5,371,USA,Loyalty
5,5,372,USA,Authority
6,5,373,USA,Purity
7,5,374,USA,Care
8,5,375,USA,Equality
9,5,376,USA,Proportionality
10,4,377,USA,Loyalty
11,5,378,USA,Authority
12,5,379,USA,Purity
13,5,380,USA,Care
14,5,381,USA,Equality
15,5,382,USA,Proportionality
16,5,383,USA,Loyalty
17,5,384,USA,Authority
18,5,385,USA,Purity
19,5,386,USA,Care
20,5,387,USA,Equality
21,5,388,USA,Proportionality
22,5,389,USA,Loyalty
23,5,390,USA,Authority
24,5,391,USA,Purity
25,5,392,USA,Care
26,5,393,USA,Equality
27,5,394,USA,Proportionality
28,5,395,USA,Loyalty
29,5,396,USA,Authority
30,5,397,USA,Purity
31,4,398,USA,Care
32,5,399,USA,Equality
33,4,400,USA,Proportionality
34,5,401,USA,Loyalty
35,5,402,USA,Authority
36,5,403,USA,Purity
1,4,404,USA,Care
2,3,405,USA,Equality
3,4,406,USA,Proportionality
4,4,407,USA,Loyalty
5,4,408,USA,Authority
6,4,409,USA,Purity
7,4,410,USA,Care
8,1,411,USA,Equality
9,4,412,USA,Proportionality
10,4,413,USA,Loyalty
11,4,414,USA,Authority
12,4,415,USA,Purity
13,3,416,USA,Care
14,3,417,USA,Equality
15,4,418,USA,Proportionality
16,4,419,USA,Loyalty
17,5,420,USA,Authority
18,3,421,USA,Purity
19,3,422,USA,Care
20,1,423,USA,Equality
21,4,424,USA,Proportionality
22,4,425,USA,Loyalty
23,4,426,USA,Authority
24,4,427,USA,Purity
25,2,428,USA,Care
26,4,429,USA,Equality
27,3,430,USA,Proportionality
28,4,431,USA,Loyalty
29,5,432,USA,Authority
30,4,433,USA,Purity
31,3,434,USA,Care
32,3,435,USA,Equality
33,5,436,USA,Proportionality
34,3,437,USA,Loyalty
35,4,438,USA,Authority
36,3,439,USA,Purity
1,5,440,USA,Care
2,1,441,USA,Equality
3,5,442,USA,Proportionality
4,5,443,USA,Loyalty
5,3,444,USA,Authority
6,1,445,USA,Purity
7,5,446,USA,Care
8,1,447,USA,Equality
9,3,448,USA,Proportionality
10,5,449,USA,Loyalty
11,3,450,USA,Authority
12,1,451,USA,Purity
13,5,452,USA,Care
14,5,453,USA,Equality
15,5,454,USA,Proportionality
16,5,455,USA,Loyalty
17,5,456,USA,Authority
18,3,457,USA,Purity
19,5,458,USA,Care
20,3,459,USA,Equality
21,5,460,USA,Proportionality
22,1,461,USA,Loyalty
23,5,462,USA,Authority
24,1,463,USA,Purity
25,5,464,USA,Care
26,5,465,USA,Equality
27,1,466,USA,Proportionality
28,5,467,USA,Loyalty
29,5,468,USA,Authority
30,1,469,USA,Purity
31,5,470,USA,Care
32,4,471,USA,Equality
33,5,472,USA,Proportionality
34,5,473,USA,Loyalty
35,5,474,USA,Authority
36,1,475,USA,Purity
1,4,476,USA,Care
2,2,477,USA,Equality
3,3,478,USA,Proportionality
4,3,479,USA,Loyalty
5,3,480,USA,Authority
6,3,481,USA,Purity
7,2,482,USA,Care
8,3,483,USA,Equality
9,4,484,USA,Proportionality
10,3,485,USA,Loyalty
11,3,486,USA,Authority
12,3,487,USA,Purity
13,3,488,USA,Care
14,3,489,USA,Equality
15,3,490,USA,Proportionality
16,3,491,USA,Loyalty
17,3,492,USA,Authority
18,3,493,USA,Purity
19,3,494,USA,Care
20,3,495,USA,Equality
21,4,496,USA,Proportionality
22,3,497,USA,Loyalty
23,4,498,USA,Authority
24,4,499,USA,Purity
25,3,500,USA,Care
26,4,501,USA,Equality
27,4,502,USA,Proportionality
28,3,503,USA,Loyalty
29,4,504,USA,Authority
30,4,505,USA,Purity
31,3,506,USA,Care
32,2,507,USA,Equality
33,4,508,USA,Proportionality
34,3,509,USA,Loyalty
35,4,510,USA,Authority
36,3,511,USA,Purity
1,5,512,USA,Care
2,1,513,USA,Equality
3,1,514,USA,Proportionality
4,5,515,USA,Loyalty
5,4,1,USA,Authority
6,5,2,USA,Purity
7,1,3,USA,Care
8,1,4,USA,Equality
9,4,5,USA,Proportionality
10,5,6,USA,Loyalty
11,2,7,USA,Authority
12,3,8,USA,Purity
13,4,9,USA,Care
14,5,10,USA,Equality
15,5,11,USA,Proportionality
16,5,12,USA,Loyalty
17,5,13,USA,Authority
18,5,14,USA,Purity
19,5,15,USA,Care
20,1,16,USA,Equality
21,5,17,USA,Proportionality
22,5,18,USA,Loyalty
23,5,19,USA,Authority
24,1,20,USA,Purity
25,5,21,USA,Care
26,1,22,USA,Equality
27,1,23,USA,Proportionality
28,5,24,USA,Loyalty
29,5,25,USA,Authority
30,1,26,USA,Purity
31,5,27,USA,Care
32,2,28,USA,Equality
33,5,29,USA,Proportionality
34,5,30,USA,Loyalty
35,5,31,USA,Authority
36,5,32,USA,Purity
1,3,33,USA,Care
2,1,34,USA,Equality
3,2,35,USA,Proportionality
4,4,36,USA,Loyalty
5,3,37,USA,Authority
6,3,38,USA,Purity
7,4,39,USA,Care
8,1,40,USA,Equality
9,2,41,USA,Proportionality
10,4,42,USA,Loyalty
11,3,43,USA,Authority
12,2,44,USA,Purity
13,3,45,USA,Care
14,3,46,USA,Equality
15,2,47,USA,Proportionality
16,5,48,USA,Loyalty
17,4,49,USA,Authority
18,2,50,USA,Purity
19,3,51,USA,Care
20,2,52,USA,Equality
21,3,53,USA,Proportionality
22,5,54,USA,Loyalty
23,4,55,USA,Authority
24,1,56,USA,Purity
25,3,57,USA,Care
26,3,58,USA,Equality
27,2,59,USA,Proportionality
28,4,60,USA,Loyalty
29,4,61,USA,Authority
30,2,62,USA,Purity
31,3,63,USA,Care
32,3,64,USA,Equality
33,4,65,USA,Proportionality
34,3,66,USA,Loyalty
35,4,67,USA,Authority
36,3,68,USA,Purity
1,5,69,USA,Care
2,3,70,USA,Equality
3,3,71,USA,Proportionality
4,2,72,USA,Loyalty
5,3,73,USA,Authority
6,2,74,USA,Purity
7,5,75,USA,Care
8,2,76,USA,Equality
9,4,77,USA,Proportionality
10,2,78,USA,Loyalty
11,4,79,USA,Authority
12,3,80,USA,Purity
13,4,81,USA,Care
14,3,82,USA,Equality
15,4,83,USA,Proportionality
16,3,84,USA,Loyalty
17,4,85,USA,Authority
18,5,86,USA,Purity
19,5,87,USA,Care
20,4,88,USA,Equality
21,4,89,USA,Proportionality
22,3,90,USA,Loyalty
23,3,91,USA,Authority
24,4,92,USA,Purity
25,5,93,USA,Care
26,4,94,USA,Equality
27,2,95,USA,Proportionality
28,3,96,USA,Loyalty
29,3,97,USA,Authority
30,3,98,USA,Purity
31,4,99,USA,Care
32,3,100,USA,Equality
33,3,101,USA,Proportionality
34,4,102,USA,Loyalty
35,3,103,USA,Authority
36,5,104,USA,Purity
1,5,105,USA,Care
2,2,106,USA,Equality
3,2,107,USA,Proportionality
4,4,108,USA,Loyalty
5,5,109,USA,Authority
6,4,110,USA,Purity
7,5,111,USA,Care
8,1,112,USA,Equality
9,4,113,USA,Proportionality
10,2,114,USA,Loyalty
11,4,115,USA,Authority
12,5,116,USA,Purity
13,5,117,USA,Care
14,2,118,USA,Equality
15,4,119,USA,Proportionality
16,2,120,USA,Loyalty
17,5,121,USA,Authority
18,5,122,USA,Purity
19,5,123,USA,Care
20,2,124,USA,Equality
21,5,125,USA,Proportionality
22,2,126,USA,Loyalty
23,5,127,USA,Authority
24,4,128,USA,Purity
25,5,129,USA,Care
26,2,130,USA,Equality
27,2,131,USA,Proportionality
28,5,132,USA,Loyalty
29,5,133,USA,Authority
30,1,134,USA,Purity
31,5,135,USA,Care
32,2,136,USA,Equality
33,5,137,USA,Proportionality
34,5,138,USA,Loyalty
35,5,139,USA,Authority
36,5,140,USA,Purity
1,5,141,USA,Care
2,3,142,USA,Equality
3,5,143,USA,Proportionality
4,5,144,USA,Loyalty
5,3,145,USA,Authority
6,2,146,USA,Purity
7,5,147,USA,Care
8,3,148,USA,Equality
9,5,149,USA,Proportionality
10,5,150,USA,Loyalty
11,3,151,USA,Authority
12,1,152,USA,Purity
13,5,153,USA,Care
14,5,154,USA,Equality
15,5,155,USA,Proportionality
16,5,156,USA,Loyalty
17,5,157,USA,Authority
18,1,158,USA,Purity
19,5,159,USA,Care
20,3,160,USA,Equality
21,4,161,USA,Proportionality
22,3,162,USA,Loyalty
23,5,163,USA,Authority
24,4,164,USA,Purity
25,5,165,USA,Care
26,1,166,USA,Equality
27,4,167,USA,Proportionality
28,5,168,USA,Loyalty
29,4,169,USA,Authority
30,4,170,USA,Purity
31,4,171,USA,Care
32,1,172,USA,Equality
33,5,173,USA,Proportionality
34,4,174,USA,Loyalty
35,5,175,USA,Authority
36,1,176,USA,Purity
1,5,177,USA,Care
2,1,178,USA,Equality
3,5,179,USA,Proportionality
4,5,180,USA,Loyalty
5,5,181,USA,Authority
6,4,182,USA,Purity
7,4,183,USA,Care
8,2,184,USA,Equality
9,2,185,USA,Proportionality
10,4,186,USA,Loyalty
11,3,187,USA,Authority
12,1,188,USA,Purity
13,4,189,USA,Care
14,4,190,USA,Equality
15,5,191,USA,Proportionality
16,5,192,USA,Loyalty
17,4,193,USA,Authority
18,2,194,USA,Purity
19,4,195,USA,Care
20,1,196,USA,Equality
21,4,197,USA,Proportionality
22,5,198,USA,Loyalty
23,5,199,USA,Authority
24,2,200,USA,Purity
25,4,201,USA,Care
26,3,202,USA,Equality
27,4,203,USA,Proportionality
28,5,204,USA,Loyalty
29,4,205,USA,Authority
30,5,206,USA,Purity
31,4,207,USA,Care
32,1,208,USA,Equality
33,2,209,USA,Proportionality
34,5,210,USA,Loyalty
35,5,211,USA,Authority
36,1,212,USA,Purity
1,4,213,USA,Care
2,1,214,USA,Equality
3,5,215,USA,Proportionality
4,5,216,USA,Loyalty
5,5,217,USA,Authority
6,5,218,USA,Purity
7,4,219,USA,Care
8,3,220,USA,Equality
9,5,221,USA,Proportionality
10,5,222,USA,Loyalty
11,5,223,USA,Authority
12,3,224,USA,Purity
13,4,225,USA,Care
14,5,226,USA,Equality
15,5,227,USA,Proportionality
16,5,228,USA,Loyalty
17,5,229,USA,Authority
18,5,230,USA,Purity
19,4,231,USA,Care
20,3,232,USA,Equality
21,3,233,USA,Proportionality
22,4,234,USA,Loyalty
23,4,235,USA,Authority
24,1,236,USA,Purity
25,5,237,USA,Care
26,1,238,USA,Equality
27,4,239,USA,Proportionality
28,5,240,USA,Loyalty
29,5,241,USA,Authority
30,5,242,USA,Purity
31,5,243,USA,Care
32,3,244,USA,Equality
33,5,245,USA,Proportionality
34,4,246,USA,Loyalty
35,5,247,USA,Authority
36,1,248,USA,Purity
1,4,249,USA,Care
2,1,250,USA,Equality
3,5,251,USA,Proportionality
4,5,252,USA,Loyalty
5,4,253,USA,Authority
6,5,254,USA,Purity
7,4,255,USA,Care
8,1,256,USA,Equality
9,4,257,USA,Proportionality
10,5,258,USA,Loyalty
11,4,259,USA,Authority
12,5,260,USA,Purity
13,4,261,USA,Care
14,3,262,USA,Equality
15,4,263,USA,Proportionality
16,5,264,USA,Loyalty
17,5,265,USA,Authority
18,5,266,USA,Purity
19,4,267,USA,Care
20,1,268,USA,Equality
21,5,269,USA,Proportionality
22,5,270,USA,Loyalty
23,5,271,USA,Authority
24,2,272,USA,Purity
25,4,273,USA,Care
26,1,274,USA,Equality
27,4,275,USA,Proportionality
28,4,276,USA,Loyalty
29,5,277,USA,Authority
30,3,278,USA,Purity
31,4,279,USA,Care
32,1,280,USA,Equality
33,4,281,USA,Proportionality
34,4,282,USA,Loyalty
35,5,283,USA,Authority
36,5,284,USA,Purity
1,4,285,USA,Care
2,2,286,USA,Equality
3,3,287,USA,Proportionality
4,3,288,USA,Loyalty
5,3,289,USA,Authority
6,3,290,USA,Purity
7,2,291,USA,Care
8,1,292,USA,Equality
9,4,293,USA,Proportionality
10,3,294,USA,Loyalty
11,3,295,USA,Authority
12,3,296,USA,Purity
13,4,297,USA,Care
14,3,298,USA,Equality
15,3,299,USA,Proportionality
16,5,300,USA,Loyalty
17,3,301,USA,Authority
18,4,302,USA,Purity
19,2,303,USA,Care
20,1,304,USA,Equality
21,5,305,USA,Proportionality
22,5,306,USA,Loyalty
23,5,307,USA,Authority
24,1,308,USA,Purity
25,3,309,USA,Care
26,4,310,USA,Equality
27,3,311,USA,Proportionality
28,4,312,USA,Loyalty
29,3,313,USA,Authority
30,1,314,USA,Purity
31,2,315,USA,Care
32,1,316,USA,Equality
33,4,317,USA,Proportionality
34,5,318,USA,Loyalty
35,4,319,USA,Authority
36,4,320,USA,Purity
1,3,321,USA,Care
2,1,322,USA,Equality
3,2,323,USA,Proportionality
4,3,324,USA,Loyalty
5,4,325,USA,Authority
6,3,326,USA,Purity
7,3,327,USA,Care
8,2,328,USA,Equality
9,3,329,USA,Proportionality
10,2,330,USA,Loyalty
11,3,331,USA,Authority
12,2,332,USA,Purity
13,3,333,USA,Care
14,2,334,USA,Equality
15,2,335,USA,Proportionality
16,3,336,USA,Loyalty
17,3,337,USA,Authority
18,2,338,USA,Purity
19,3,339,USA,Care
20,2,340,USA,Equality
21,2,341,USA,Proportionality
22,2,342,USA,Loyalty
23,2,343,USA,Authority
24,2,344,USA,Purity
25,3,345,USA,Care
26,3,346,USA,Equality
27,3,347,USA,Proportionality
28,3,348,USA,Loyalty
29,3,349,USA,Authority
30,3,350,USA,Purity
31,3,351,USA,Care
32,2,352,USA,Equality
33,3,353,USA,Proportionality
34,3,354,USA,Loyalty
35,3,355,USA,Authority
36,2,356,USA,Purity
1,5,357,USA,Care
2,3,358,USA,Equality
3,2,359,USA,Proportionality
4,4,360,USA,Loyalty
5,2,361,USA,Authority
6,2,362,USA,Purity
7,5,363,USA,Care
8,5,364,USA,Equality
9,2,365,USA,Proportionality
10,3,366,USA,Loyalty
11,4,367,USA,Authority
12,1,368,USA,Purity
13,4,369,USA,Care
14,5,370,USA,Equality
15,4,371,USA,Proportionality
16,4,372,USA,Loyalty
17,1,373,USA,Authority
18,1,374,USA,Purity
19,5,375,USA,Care
20,5,376,USA,Equality
21,4,377,USA,Proportionality
22,4,378,USA,Loyalty
23,4,379,USA,Authority
24,2,380,USA,Purity
25,4,381,USA,Care
26,5,382,USA,Equality
27,3,383,USA,Proportionality
28,4,384,USA,Loyalty
29,2,385,USA,Authority
30,1,386,USA,Purity
31,5,387,USA,Care
32,4,388,USA,Equality
33,5,389,USA,Proportionality
34,5,390,USA,Loyalty
35,4,391,USA,Authority
36,1,392,USA,Purity
1,5,393,USA,Care
2,1,394,USA,Equality
3,5,395,USA,Proportionality
4,5,396,USA,Loyalty
5,5,397,USA,Authority
6,5,398,USA,Purity
7,5,399,USA,Care
8,1,400,USA,Equality
9,3,401,USA,Proportionality
10,5,402,USA,Loyalty
11,4,403,USA,Authority
12,5,404,USA,Purity
13,5,405,USA,Care
14,3,406,USA,Equality
15,5,407,USA,Proportionality
16,5,408,USA,Loyalty
17,5,409,USA,Authority
18,5,410,USA,Purity
19,5,411,USA,Care
20,1,412,USA,Equality
21,5,413,USA,Proportionality
22,5,414,USA,Loyalty
23,5,415,USA,Authority
24,4,416,USA,Purity
25,5,417,USA,Care
26,4,418,USA,Equality
27,4,419,USA,Proportionality
28,5,420,USA,Loyalty
29,5,421,USA,Authority
30,3,422,USA,Purity
31,5,423,USA,Care
32,2,424,USA,Equality
33,5,425,USA,Proportionality
34,4,426,USA,Loyalty
35,5,427,USA,Authority
36,5,428,USA,Purity
1,4,429,USA,Care
2,1,430,USA,Equality
3,5,431,USA,Proportionality
4,4,432,USA,Loyalty
5,5,433,USA,Authority
6,5,434,USA,Purity
7,4,435,USA,Care
8,1,436,USA,Equality
9,5,437,USA,Proportionality
10,4,438,USA,Loyalty
11,5,439,USA,Authority
12,5,440,USA,Purity
13,3,441,USA,Care
14,5,442,USA,Equality
15,5,443,USA,Proportionality
16,5,444,USA,Loyalty
17,5,445,USA,Authority
18,5,446,USA,Purity
19,4,447,USA,Care
20,1,448,USA,Equality
21,5,449,USA,Proportionality
22,4,450,USA,Loyalty
23,5,451,USA,Authority
24,1,452,USA,Purity
25,4,453,USA,Care
26,5,454,USA,Equality
27,5,455,USA,Proportionality
28,5,456,USA,Loyalty
29,5,457,USA,Authority
30,5,458,USA,Purity
31,4,459,USA,Care
32,1,460,USA,Equality
33,4,461,USA,Proportionality
34,5,462,USA,Loyalty
35,5,463,USA,Authority
36,5,464,USA,Purity
1,5,465,USA,Care
2,3,466,USA,Equality
3,5,467,USA,Proportionality
4,5,468,USA,Loyalty
5,5,469,USA,Authority
6,5,470,USA,Purity
7,5,471,USA,Care
8,5,472,USA,Equality
9,5,473,USA,Proportionality
10,4,474,USA,Loyalty
11,3,475,USA,Authority
12,1,476,USA,Purity
13,5,477,USA,Care
14,5,478,USA,Equality
15,4,479,USA,Proportionality
16,4,480,USA,Loyalty
17,5,481,USA,Authority
18,2,482,USA,Purity
19,5,483,USA,Care
20,4,484,USA,Equality
21,5,485,USA,Proportionality
22,5,486,USA,Loyalty
23,5,487,USA,Authority
24,4,488,USA,Purity
25,5,489,USA,Care
26,1,490,USA,Equality
27,5,491,USA,Proportionality
28,5,492,USA,Loyalty
29,5,493,USA,Authority
30,1,494,USA,Purity
31,5,495,USA,Care
32,3,496,USA,Equality
33,5,497,USA,Proportionality
34,5,498,USA,Loyalty
35,5,499,USA,Authority
36,2,500,USA,Purity
1,3,501,USA,Care
2,2,502,USA,Equality
3,4,503,USA,Proportionality
4,4,504,USA,Loyalty
5,3,505,USA,Authority
6,4,506,USA,Purity
7,3,507,USA,Care
8,1,508,USA,Equality
9,3,509,USA,Proportionality
10,4,510,USA,Loyalty
11,3,511,USA,Authority
12,3,512,USA,Purity
13,3,513,USA,Care
14,3,514,USA,Equality
15,3,515,USA,Proportionality
16,5,1,USA,Loyalty
17,4,2,USA,Authority
18,4,3,USA,Purity
19,4,4,USA,Care
20,3,5,USA,Equality
21,4,6,USA,Proportionality
22,3,7,USA,Loyalty
23,4,8,USA,Authority
24,3,9,USA,Purity
25,4,10,USA,Care
26,3,11,USA,Equality
27,3,12,USA,Proportionality
28,4,13,USA,Loyalty
29,4,14,USA,Authority
30,4,15,USA,Purity
31,4,16,USA,Care
32,4,17,USA,Equality
33,4,18,USA,Proportionality
34,3,19,USA,Loyalty
35,4,20,USA,Authority
36,3,21,USA,Purity
1,5,22,USA,Care
2,3,23,USA,Equality
3,4,24,USA,Proportionality
4,5,25,USA,Loyalty
5,3,26,USA,Authority
6,5,27,USA,Purity
7,5,28,USA,Care
8,3,29,USA,Equality
9,3,30,USA,Proportionality
10,3,31,USA,Loyalty
11,3,32,USA,Authority
12,5,33,USA,Purity
13,5,34,USA,Care
14,5,35,USA,Equality
15,3,36,USA,Proportionality
16,5,37,USA,Loyalty
17,5,38,USA,Authority
18,5,39,USA,Purity
19,5,40,USA,Care
20,3,41,USA,Equality
21,4,42,USA,Proportionality
22,5,43,USA,Loyalty
23,5,44,USA,Authority
24,4,45,USA,Purity
25,4,46,USA,Care
26,5,47,USA,Equality
27,1,48,USA,Proportionality
28,3,49,USA,Loyalty
29,4,50,USA,Authority
30,5,51,USA,Purity
31,5,52,USA,Care
32,2,53,USA,Equality
33,3,54,USA,Proportionality
34,5,55,USA,Loyalty
35,5,56,USA,Authority
36,5,57,USA,Purity
1,3,58,USA,Care
2,1,59,USA,Equality
3,3,60,USA,Proportionality
4,5,61,USA,Loyalty
5,4,62,USA,Authority
6,2,63,USA,Purity
7,3,64,USA,Care
8,1,65,USA,Equality
9,3,66,USA,Proportionality
10,2,67,USA,Loyalty
11,3,68,USA,Authority
12,2,69,USA,Purity
13,3,70,USA,Care
14,2,71,USA,Equality
15,2,72,USA,Proportionality
16,4,73,USA,Loyalty
17,5,74,USA,Authority
18,3,75,USA,Purity
19,3,76,USA,Care
20,1,77,USA,Equality
21,4,78,USA,Proportionality
22,4,79,USA,Loyalty
23,4,80,USA,Authority
24,1,81,USA,Purity
25,2,82,USA,Care
26,4,83,USA,Equality
27,3,84,USA,Proportionality
28,3,85,USA,Loyalty
29,5,86,USA,Authority
30,1,87,USA,Purity
31,2,88,USA,Care
32,1,89,USA,Equality
33,4,90,USA,Proportionality
34,5,91,USA,Loyalty
35,4,92,USA,Authority
36,1,93,USA,Purity
1,4,94,USA,Care
2,3,95,USA,Equality
3,4,96,USA,Proportionality
4,3,97,USA,Loyalty
5,3,98,USA,Authority
6,3,99,USA,Purity
7,3,100,USA,Care
8,3,101,USA,Equality
9,3,102,USA,Proportionality
10,2,103,USA,Loyalty
11,4,104,USA,Authority
12,2,105,USA,Purity
13,3,106,USA,Care
14,4,107,USA,Equality
15,3,108,USA,Proportionality
16,3,109,USA,Loyalty
17,2,110,USA,Authority
18,1,111,USA,Purity
19,3,112,USA,Care
20,3,113,USA,Equality
21,3,114,USA,Proportionality
22,2,115,USA,Loyalty
23,4,116,USA,Authority
24,1,117,USA,Purity
25,3,118,USA,Care
26,1,119,USA,Equality
27,3,120,USA,Proportionality
28,2,121,USA,Loyalty
29,4,122,USA,Authority
30,4,123,USA,Purity
31,4,124,USA,Care
32,2,125,USA,Equality
33,4,126,USA,Proportionality
34,4,127,USA,Loyalty
35,4,128,USA,Authority
36,3,129,USA,Purity
1,4,130,USA,Care
2,1,131,USA,Equality
3,3,132,USA,Proportionality
4,5,133,USA,Loyalty
5,4,134,USA,Authority
6,2,135,USA,Purity
7,3,136,USA,Care
8,1,137,USA,Equality
9,4,138,USA,Proportionality
10,5,139,USA,Loyalty
11,3,140,USA,Authority
12,3,141,USA,Purity
13,2,142,USA,Care
14,1,143,USA,Equality
15,4,144,USA,Proportionality
16,5,145,USA,Loyalty
17,4,146,USA,Authority
18,4,147,USA,Purity
19,3,148,USA,Care
20,1,149,USA,Equality
21,4,150,USA,Proportionality
22,3,151,USA,Loyalty
23,3,152,USA,Authority
24,5,153,USA,Purity
25,4,154,USA,Care
26,1,155,USA,Equality
27,3,156,USA,Proportionality
28,2,157,USA,Loyalty
29,5,158,USA,Authority
30,1,159,USA,Purity
31,4,160,USA,Care
32,1,161,USA,Equality
33,5,162,USA,Proportionality
34,4,163,USA,Loyalty
35,5,164,USA,Authority
36,3,165,USA,Purity
1,4,166,USA,Care
2,2,167,USA,Equality
3,3,168,USA,Proportionality
4,3,169,USA,Loyalty
5,3,170,USA,Authority
6,1,171,USA,Purity
7,3,172,USA,Care
8,3,173,USA,Equality
9,5,174,USA,Proportionality
10,4,175,USA,Loyalty
11,3,176,USA,Authority
12,1,177,USA,Purity
13,4,178,USA,Care
14,4,179,USA,Equality
15,4,180,USA,Proportionality
16,4,181,USA,Loyalty
17,5,182,USA,Authority
18,1,183,USA,Purity
19,4,184,USA,Care
20,4,185,USA,Equality
21,4,186,USA,Proportionality
22,4,187,USA,Loyalty
23,4,188,USA,Authority
24,1,189,USA,Purity
25,5,190,USA,Care
26,4,191,USA,Equality
27,4,192,USA,Proportionality
28,2,193,USA,Loyalty
29,4,194,USA,Authority
30,1,195,USA,Purity
31,3,196,USA,Care
32,2,197,USA,Equality
33,4,198,USA,Proportionality
34,3,199,USA,Loyalty
35,4,200,USA,Authority
36,1,201,USA,Purity
1,3,202,USA,Care
2,3,203,USA,Equality
3,5,204,USA,Proportionality
4,4,205,USA,Loyalty
5,4,206,USA,Authority
6,4,207,USA,Purity
7,1,208,USA,Care
8,2,209,USA,Equality
9,3,210,USA,Proportionality
10,4,211,USA,Loyalty
11,3,212,USA,Authority
12,5,213,USA,Purity
13,3,214,USA,Care
14,3,215,USA,Equality
15,3,216,USA,Proportionality
16,5,217,USA,Loyalty
